2026-02-12 20:14:31,216 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.002}
2026-02-12 20:21:41,406 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-12 20:22:03,356 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 1.0}
2026-02-12 20:22:03,949 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-12 20:25:14,997 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.5}
2026-02-12 20:25:16,317 | INFO | TradingBot | Order response: {'orderId': 12216123995, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJc9f5f733ad2061f78b537b', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.500', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1770908116217}
2026-02-23 15:44:13,309 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-02-23 15:44:13,576 | ERROR | TradingBot | Binance API error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-02-23 15:44:23,397 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-02-23 15:44:23,672 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 15:44:26,409 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-02-23 15:44:26,627 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 15:44:51,284 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.1, 'price': 0.05, 'timeInForce': 'GTC'}
2026-02-23 15:44:51,484 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 15:45:04,555 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 10.0, 'price': 5.0, 'timeInForce': 'GTC'}
2026-02-23 15:45:04,792 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 15:45:14,611 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 1000.0, 'price': 500.0, 'timeInForce': 'GTC'}
2026-02-23 15:45:14,850 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 15:49:47,880 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.1}
2026-02-23 15:49:48,197 | INFO | TradingBot | Order response: {'orderId': 12489328325, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ8853796ec6bb204e075137', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1771841990119}
2026-02-23 16:01:05,109 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01}
2026-02-23 16:01:05,772 | INFO | TradingBot | Order response: {'orderId': 12489535234, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJf35325da3c283deee3a0ae', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1771842667687}
2026-02-23 16:01:15,549 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.1}
2026-02-23 16:01:15,986 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 16:01:23,523 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.05}
2026-02-23 16:01:23,987 | INFO | TradingBot | Order response: {'orderId': 12489538990, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ400efd3e3044554cc775d3', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.050', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1771842685911}
2026-02-23 16:02:03,978 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.099}
2026-02-23 16:02:04,367 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 16:02:11,650 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.09}
2026-02-23 16:02:12,039 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 16:02:21,029 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.08}
2026-02-23 16:02:21,353 | ERROR | TradingBot | Binance API error: APIError(code=-2019): Margin is insufficient.
2026-02-23 16:44:48,090 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.0007}
2026-02-23 16:44:48,339 | ERROR | TradingBot | Binance API error: APIError(code=-1111): Precision is over the maximum defined for this asset.
2026-02-23 16:45:12,267 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.01, 'timeInForce': 'GTC'}
2026-02-23 16:45:12,498 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:20,654 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.01, 'timeInForce': 'GTC'}
2026-02-23 16:45:20,885 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:25,093 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.1, 'timeInForce': 'GTC'}
2026-02-23 16:45:25,323 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:32,215 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.1, 'timeInForce': 'GTC'}
2026-02-23 16:45:32,462 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:37,815 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.06, 'timeInForce': 'GTC'}
2026-02-23 16:45:38,050 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:41,515 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.06, 'price': 0.08, 'timeInForce': 'GTC'}
2026-02-23 16:45:41,728 | ERROR | TradingBot | Binance API error: APIError(code=-4013): Price less than min price.
2026-02-23 16:45:52,505 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.1}
2026-02-23 16:45:53,001 | INFO | TradingBot | Order response: {'orderId': 12490408836, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ6cfa6b3b3f2085d425f57f', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1771845354927}
2026-02-23 16:48:33,299 | INFO | TradingBot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.1}
2026-02-23 16:48:33,605 | INFO | TradingBot | Order response: {'orderId': 12490457814, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ14652b4745a3613e82751c', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1771845515546}
